Feature_Name,Coefficient_name,Level_Value,Beta_values,P_Value,Actionable_Flag,Odds_Ratio,Seller_Narratives,MaxOdds_Ratio,Feature_Direction,Seller_Narratives_Other,Feature_Count,Average,Rank_Feature,Earliest_Sales_Stage,Latest_Sales_Stage,Level_Name,Feature_Show_Hide,Business_Feature_Name,Action
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue[3%-10%] Discount&No&1500000,[3%-10%] Discount&No&1500000,0.5836,0.5137,Actionable,-0.538539462,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",-0.538539462,Negative,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.423665614,1,40,40,Medium-Low,Show,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue[3%-10%] Discount&No&250000,[3%-10%] Discount&No&250000,1.7536,0.0377,Actionable,0.561670818,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",0.212365678,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.212365678,2,40,40,Medium-Low,Hide,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue[3%-10%] Discount&Yes&0,[3%-10%] Discount&Yes&0,0.9541,0.7332,Actionable,-0.046986791,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",3.665587797,Negative,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.423665614,3,40,40,Medium-Low,Hide,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue[3%-10%] Discount&Yes&1000000,[3%-10%] Discount&Yes&1000000,1.033,0.9402,Actionable,0.03246719,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",1.944695125,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.423665614,3,40,40,Medium-Low,Show,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue[3%-10%] Discount&Yes&1500000,[3%-10%] Discount&Yes&1500000,1.8001,0.0815,Actionable,0.587842219,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",0.787047276,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.35,2,40,40,Medium-Low,Show,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue[3%-10%] Discount&Yes&250000,[3%-10%] Discount&Yes&250000,2.3851,0.0224,Actionable,0.869241052,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",0.017741681,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.423665614,4,40,40,Medium-Low,Hide,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue0% Discount,0% Discount,0.7998,0.0238,Actionable,-0.223393583,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",0.039124555,Negative,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,-0.223393583,1,40,40,Low,Show,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue0%-3% Discount&No&0,0%-3% Discount&No&0,0.865,0.2882,Actionable,-0.145025772,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",0.039124555,Negative,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,-0.13,4,40,40,Low,Show,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue0%-3% Discount&No&1000000,0%-3% Discount&No&1000000,1.9815,0.5184,Actionable,0.683854134,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",1.267398206,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.809,3,40,40,Low,Show,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue0%-3% Discount&No&250000,0%-3% Discount&No&250000,1.2366,0.3081,Actionable,0.212365678,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",0.212365678,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.212365678,1,40,40,Low,Show,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue0%-3% Discount&Yes&0,0%-3% Discount&Yes&0,0.9028,0.5397,Actionable,-0.102254234,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",3.665587797,Negative,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.423665614,4,40,40,Low,Show,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue0%-3% Discount&Yes&1000000,0%-3% Discount&Yes&1000000,1.1172,0.746,Actionable,0.110825555,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",1.944695125,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.423665614,2,40,40,Low,Show,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue0%-3% Discount&Yes&1500000,0%-3% Discount&Yes&1500000,0.5942,0.0403,Actionable,-0.520539316,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",0.787047276,Negative,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.35,4,40,40,Low,Show,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue0%-3% Discount&Yes&250000,0%-3% Discount&Yes&250000,1.0179,0.9541,Actionable,0.017741681,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",0.017741681,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.423665614,1,40,40,Low,Show,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue10%-18% Discount&No&0,10%-18% Discount&No&0,1.0399,0.7854,Actionable,0.039124555,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",0.039124555,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,-0.13,1,40,40,Medium-High,Hide,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue10%-18% Discount&No&1000000,10%-18% Discount&No&1000000,2.2087,0.4743,Actionable,0.792404107,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",1.267398206,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.809,2,40,40,Medium-High,Hide,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue10%-18% Discount&No&1500000,10%-18% Discount&No&1500000,0.2201,0.2921,Actionable,-1.51367329,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",-0.538539462,Negative,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.423665614,2,40,40,Medium-High,Hide,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue10%-18% Discount&No&250000,10%-18% Discount&No&250000,3.5829,0.0005,Actionable,1.276172528,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",0.212365678,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.212365678,3,40,40,Medium-Low,Hide,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue10%-18% Discount&Yes&0,10%-18% Discount&Yes&0,0.9469,0.7162,Actionable,-0.054561788,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",3.665587797,Negative,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.423665614,2,40,40,Medium-High,Hide,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue10%-18% Discount&Yes&1000000,10%-18% Discount&Yes&1000000,6.9915,0.0035,Actionable,1.944695125,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",1.944695125,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.423665614,1,40,40,Medium-High,Hide,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue10%-18% Discount&Yes&1500000,10%-18% Discount&Yes&1500000,2.1969,0.0549,Actionable,0.787047276,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",0.787047276,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.35,1,40,40,Medium-High,Hide,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue10%-18% Discount&Yes&250000,10%-18% Discount&Yes&250000,39.0791,0.002,Actionable,3.665587797,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",0.017741681,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.423665614,2,40,40,Medium-High,Hide,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue18%+ Discount&No&0,18%+ Discount&No&0,0.9703,0.8509,Actionable,-0.030149977,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",0.039124555,Negative,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,-0.13,3,40,40,High,Hide,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue18%+ Discount&No&1000000,18%+ Discount&No&1000000,1.6368,0.6029,Actionable,0.492743116,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",1.267398206,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.809,4,40,40,High,Hide,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue18%+ Discount&No&250000,18%+ Discount&No&250000,1.3691,0.3305,Actionable,0.31415359,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",0.212365678,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.212365678,4,40,40,High,Hide,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue18%+ Discount&Yes&0,18%+ Discount&Yes&0,1.2017,0.2998,Actionable,0.183737221,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",3.665587797,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.423665614,1,40,40,High,Hide,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue18%+ Discount&Yes&1000000,18%+ Discount&Yes&1000000,0.8735,0.7661,Actionable,-0.135247149,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",1.944695125,Negative,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.423665614,4,40,40,High,Hide,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue18%+ Discount&Yes&1500000,18%+ Discount&Yes&1500000,1.7505,0.2219,Actionable,0.559901461,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",0.787047276,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.35,3,40,40,High,Hide,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_disc.is.S500.Flag.ACRPotentialRevenue,binned_disc.is.S500.Flag.ACRPotentialRevenue18%+ Discount&Yes&250000,18%+ Discount&Yes&250000,5.06,0.0185,Actionable,1.621366483,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",0.017741681,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering higher discounts increases the propensity to win",31,0.423665614,3,40,40,High,Hide,Deal Discount,There is potential to add/increase Discount on Deals from Strategic Customers with large Consumption Potential
binned_ecif.is.S500.Flag.ACRPotentialRevenue,"binned_ecif.is.S500.Flag.ACRPotentialRevenue(0, 45]&No&0","(0, 45]&No&0",1,0,Actionable,0,"On Deals from Strategic Customers with large Consumption Potential, offering ECIF increases the propensity to win",0.307852279,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering ECIF increases the propensity to win",18,0.387381717,2,40,40,Medium-High,Hide,Deal ECIF,There is potential to add/increase ECIF on Deals from Strategic Customers with large Consumption Potential
binned_ecif.is.S500.Flag.ACRPotentialRevenue,"binned_ecif.is.S500.Flag.ACRPotentialRevenue(0, 45]&No&250000","(0, 45]&No&250000",6.3365,0.1472,Actionable,1.846326566,"On Deals from Strategic Customers with large Consumption Potential, offering ECIF increases the propensity to win",1.846326566,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering ECIF increases the propensity to win",18,0.387381717,1,40,40,High,Show,Deal ECIF,There is potential to add/increase ECIF on Deals from Strategic Customers with large Consumption Potential
binned_ecif.is.S500.Flag.ACRPotentialRevenue,"binned_ecif.is.S500.Flag.ACRPotentialRevenue(0, 45]&Yes&0","(0, 45]&Yes&0",0.9814,0.9811,Actionable,-0.018775155,"On Deals from Strategic Customers with large Consumption Potential, offering ECIF increases the propensity to win",1.657885161,Negative,"On Deals from Strategic Customers with large Consumption Potential, offering ECIF increases the propensity to win",18,0.387381717,4,40,40,Low,Hide,Deal ECIF,There is potential to add/increase ECIF on Deals from Strategic Customers with large Consumption Potential
binned_ecif.is.S500.Flag.ACRPotentialRevenue,"binned_ecif.is.S500.Flag.ACRPotentialRevenue(0, 45]&Yes&1000000","(0, 45]&Yes&1000000",1.5842,0.7256,Actionable,0.460079548,"On Deals from Strategic Customers with large Consumption Potential, offering ECIF increases the propensity to win",0.460079548,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering ECIF increases the propensity to win",18,0.387381717,1,40,40,High,Show,Deal ECIF,There is potential to add/increase ECIF on Deals from Strategic Customers with large Consumption Potential
binned_ecif.is.S500.Flag.ACRPotentialRevenue,"binned_ecif.is.S500.Flag.ACRPotentialRevenue(0, 45]&Yes&250000","(0, 45]&Yes&250000",0.4134,0.531,Actionable,-0.883339632,"On Deals from Strategic Customers with large Consumption Potential, offering ECIF increases the propensity to win",1.207944905,Negative,"On Deals from Strategic Customers with large Consumption Potential, offering ECIF increases the propensity to win",18,0.387381717,2,40,40,Medium-High,Show,Deal ECIF,There is potential to add/increase ECIF on Deals from Strategic Customers with large Consumption Potential
binned_ecif.is.S500.Flag.ACRPotentialRevenue,"binned_ecif.is.S500.Flag.ACRPotentialRevenue(45, 60]&No&0","(45, 60]&No&0",0.5513,0.2574,Actionable,-0.595476153,"On Deals from Strategic Customers with large Consumption Potential, offering ECIF increases the propensity to win",0.307852279,Negative,"On Deals from Strategic Customers with large Consumption Potential, offering ECIF increases the propensity to win",18,0.387381717,4,40,40,Low,Hide,Deal ECIF,There is potential to add/increase ECIF on Deals from Strategic Customers with large Consumption Potential
binned_ecif.is.S500.Flag.ACRPotentialRevenue,"binned_ecif.is.S500.Flag.ACRPotentialRevenue(45, 60]&No&250000","(45, 60]&No&250000",1.2069,0.8633,Actionable,0.188055089,"On Deals from Strategic Customers with large Consumption Potential, offering ECIF increases the propensity to win",1.846326566,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering ECIF increases the propensity to win",18,0.387381717,4,40,40,Low,Hide,Deal ECIF,There is potential to add/increase ECIF on Deals from Strategic Customers with large Consumption Potential
binned_ecif.is.S500.Flag.ACRPotentialRevenue,"binned_ecif.is.S500.Flag.ACRPotentialRevenue(45, 60]&Yes&0","(45, 60]&Yes&0",1.8882,0.4199,Actionable,0.635623994,"On Deals from Strategic Customers with large Consumption Potential, offering ECIF increases the propensity to win",1.657885161,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering ECIF increases the propensity to win",18,0.387381717,3,40,40,Medium-Low,Hide,Deal ECIF,There is potential to add/increase ECIF on Deals from Strategic Customers with large Consumption Potential
binned_ecif.is.S500.Flag.ACRPotentialRevenue,"binned_ecif.is.S500.Flag.ACRPotentialRevenue(60, 75]&No&0","(60, 75]&No&0",0.7913,0.6703,Actionable,-0.234078116,"On Deals from Strategic Customers with large Consumption Potential, offering ECIF increases the propensity to win",0.307852279,Negative,"On Deals from Strategic Customers with large Consumption Potential, offering ECIF increases the propensity to win",18,0.387381717,3,40,40,Medium-Low,Hide,Deal ECIF,There is potential to add/increase ECIF on Deals from Strategic Customers with large Consumption Potential
binned_ecif.is.S500.Flag.ACRPotentialRevenue,"binned_ecif.is.S500.Flag.ACRPotentialRevenue(60, 75]&No&250000","(60, 75]&No&250000",6.2356,0.1311,Actionable,1.830274805,"On Deals from Strategic Customers with large Consumption Potential, offering ECIF increases the propensity to win",1.846326566,Positive,"On Deals from Strategic Customers with large Consumption Potential, offering ECIF increases the propensity to win",18,0.387381717,2,40,40,Medium-High,Hide,Deal ECIF,There is potential to add/increase ECIF on Deals from Strategic Customers with large Consumption Potential
