Opportunity ID,Opportunity Status,Area,Opportunity Size,SalesStage,Solution Area,Has Partner,Has SSSP,SSSP Ownership,Total Resources,Is Global,PreviousDAcountBucket,CombinationIteration,incidentBucket,Avg_Resource_Experience_Bucket,GrossNWSBucket,ContractDiscount%_binned,ECIF%_binned,approvedHoursBucket,GrowthLicensingSpendBucket,AvgResourceWinRateBucket,Digital Advisory Curr Flag,Fee Type,Avg PL Experience Bucket_binned,PPG,Commercial_Active_Oppty_Count_Bucketted,MonthsSlipped_Bucketted,Owner_Win_Rate_Bucketted,Tpid_Win_Rate_Bucketted,Is Tpid Active Support Contract,PrimarySponsorBDM,ExternalStallingFlag,ClosePlanExists,Domain PreSales Indicator,Risk_Fee,POC,StandardOfferingType,Accountplankey,MACC_binned,Cloud_SE,StalledDaysBinned,Cloud_Partner,Cloud_Discount,Cloud_Partner_Size,AvgCSATScore_Binned,Consulting_Action,SA_Size,DBScore_Binned,PPG_FeeType
7-3224DJGCE3,Open,United States,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,200-400,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-3224FHAVEJ,Open,Germany,>1M       ,60.0,Applications & Infrastructure,1,0,1,9.0,0,0,1,400<,<=2,50M<,<0%,20%+,100<,<0.25,40%to60%,0,T&M,<2,App Dev,(0-20], =0,20-40,40-60,1,1,1,No,Has Domain Presales,3_Mixed,0,Custom,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_>1M       ,0,0,Applications & Infrastructure_>1M,2-4,App Dev _ T&M
7-3224J3LBKJ,Open,UK,50k-100k  ,20.0,Other,1,0,0,0.0,0,0,0,0,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_50k-100k  ,0,0,AA,0,AA
7-3224LCD4Y7,Open,Western Europe,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,0,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown,(0-20], =0, 0-20,40-60,1,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-3224W6HMTM,Open,Western Europe,>1M       ,60.0,Modern Work,1,0,0,4.0,0,0,2,0-50,<=2,0-2M,10%-20%,20%+,100<,<0.25,40%to60%,0,T&M,<2,MW,(0-20], =0,20-40,20-40,1,1,1,No,Has Domain Presales,4_Mixed,0,Mixed Custom/SO/MSO,1,0,No,30,Cloud_1,Cloud_10%-20%,Cloud_1_>1M       ,0,0,Modern Work_>1M,0,MW _ T&M
7-32253Y72MN,Open,Western Europe,100k-300k ,40.0,Security,1,0,0,0.0,0,0,0,0,<=2,0-2M,0%,0,0,<0.25,0%to40%,0,Other,0,Azure Security, =0, =0,40-60,20-40,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,Security_100k-300k,0,Azure Security _ Other
7-32256IWRZD,Open,Western Europe,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,0,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-32257IOBDO,Open,United States,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,200-400,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-3225FF4KW7,Open,UK,300k-500k ,20.0,Other,1,0,0,0.0,0,0,0,200-400,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_300k-500k ,0,0,AA,0,AA
7-3225GGMKYP,Open,United States,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,200-400,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-3225HS4OBF,Open,United States,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,0,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-3225JJ5FKA,Open,United States,500k-1M   ,20.0,Other,1,0,1,0.0,0,0,0,0,<=2,2M-10M,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20,20-40,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_500k-1M   ,0,0,AA,0,AA
7-3225JVYUL4,Open,United States,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,200-400,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-3225QSIO2Y,Open,United States,300k-500k ,20.0,Other,1,0,0,0.0,0,0,0,200-400,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_300k-500k ,0,0,AA,0,AA
7-3225TLHPJ4,Open,United States,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,200-400,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-32264ZZBDD,Open,United States,300k-500k ,20.0,Other,1,0,0,0.0,0,0,0,0,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_300k-500k ,0,0,AA,0,AA
7-32266R5S5W,Open,United States,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,0,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-3226WN3V63,Open,Latam,300k-500k ,80.0,Business Applications,1,0,1,3.0,0,0,0,0-50,<=2,2M-10M,0%,0,60-80,<0.25,40%to60%,0,Other,<2,Biz Apps, =0, =0,20-40,20-40,1,1,1,No,Has Domain Presales,Other,0,Unknown,2,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_300k-500k ,0,1,Business Applications_300k-500k,2-4,Biz Apps _ Other
7-3226YNHFEP,Open,United States,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,0,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-322JH3Q4L5,Open,MEA,>1M       ,60.0,Business Applications,1,0,0,0.0,0,0,0,200-400,<=2,10M-50M,0%,0,0,<0.25,0%to40%,0,Other,0,Biz Apps, =0, =0,40-60,20-40,1,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_>1M       ,0,0,Business Applications_>1M,0,Biz Apps _ Other
7-322MA5SCFY,Open,United States,50k-100k  ,20.0,Other,1,0,0,0.0,0,0,0,0,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_50k-100k  ,0,0,AA,0,AA
7-322MED2HBN,Open,United States,50k-100k  ,20.0,Other,1,0,0,0.0,0,0,0,0,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_50k-100k  ,0,0,AA,0,AA
7-322PHPIJA7,Open,ANZ,<50K      ,60.0,Applications & Infrastructure,1,0,0,1.0,0,0,0,50-100,<=2,2M-10M,0%,0,0-20,<0.25,0%to40%,0,Other,<2,App Dev, =0, =0,20-40,20-40,1,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_<50K      ,0,0,Applications & Infrastructure_<50K,0,App Dev _ Other
7-322QKBQSXX,Open,ANZ,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,0,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-322QNGXFKX,Open,Japan,300k-500k ,60.0,Modern Work,1,0,1,3.0,0,0,2,50-100,<=2,0-2M,0%,0,20-40,<0.25,60%to80%,0,FF,<2,MW, =0, =0,20-40,20-40,1,1,1,No,Has Domain Presales,3_FF,0,Mixed Custom/SO/MSO,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_300k-500k ,0,0,Modern Work_300k-500k,2-4,MW _ FF
7-322R7SYNNH,Open,ANZ,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,200-400,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-322RQPUIMA,Open,APAC,<50K      ,40.0,Modern Work,1,0,1,2.0,0,0,1,0-50,<=2,0,0%,0,60-80,<0.25,0%to40%,0,FF,<2,MW, =0, =0, 0-20,20-40,1,1,1,No,Has Domain Presales,2_FF,0,Mixed MSO/SO,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_<50K      ,0,0,Modern Work_<50K,0,MW _ FF
7-322SBI2O6F,Open,ANZ,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,200-400,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-322SF37T2C,Open,Japan,500k-1M   ,60.0,Applications & Infrastructure,1,0,0,2.0,0,0,1,100-200,<=2,2M-10M,0-10%,0,40-60,<0.25,40%to60%,0,FF,0,Infra,(0-20], =0,20-40,20-40,1,1,1,No,Has Domain Presales,3_FF,0,Mixed MSO/SO,1,0,No,0,Cloud_1,Cloud_0-10%,Cloud_1_500k-1M   ,0,0,Applications & Infrastructure_500k-1M,2-4,Infra _ FF
7-322SLRHAQK,Open,Japan,<50K      ,20.0,Applications & Infrastructure,1,0,0,0.0,0,0,0,100-200,<=2,2M-10M,0%,0,0,<0.25,0%to40%,0,Other,0,Infra, =0, =0,20-40,20-40,1,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_<50K      ,0,0,Applications & Infrastructure_<50K,2-4,Infra _ Other
7-322SPCPUE5,Open,Western Europe,100k-300k ,60.0,Other,1,0,0,0.0,0,0,0,0,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-322T5BMU6V,Open,Western Europe,<50K      ,20.0,Data & AI,1,0,0,2.0,0,0,0,50-100,<=2,2M-10M,0%,0,60-80,<0.25,40%to60%,0,Other,<2,Data & AI, =0, =0, 0-20,20-40,1,1,1,No,Has Domain Presales,Other,0,Unknown,1,0-1M,No,0,Cloud_1,Cloud_0%,Cloud_1_<50K      ,0,1,Data & AI_<50K,0-2,Data & AI _ Other
7-322TEAVDS2,Open,United States,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,200-400,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-322TEOW3Z6,Open,UK,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,200-400,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-322THAXJ5V,Open,UK,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,200-400,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-322TNLENBT,Open,Greater China,100k-300k ,80.0,Data & AI,1,0,0,0.0,0,0,1,0-50,<=2,0-2M,0%,20%+,0,<0.25,0%to40%,0,T&M,0,Data & AI, =0, =0,20-40,20-40,1,1,1,No,Without Domain Presales,2_Mixed,0,Custom,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,Data & AI_100k-300k,0,Data & AI _ T&M
7-322TYVPK3Q,Open,MEA,>1M       ,60.0,Business Applications,1,0,1,10.0,0,0-5,1,400<,<=2,10M-50M,20%+,0,100<,<0.25,0%to40%,0,FF,<2,Biz Apps,(0-20], =0, 0-20,20-40,1,1,1,No,Has Domain Presales,Other,0,Mixed Custom/SO/MSO,1,0,Yes,0,Cloud_1,Cloud_20%+,Cloud_1_>1M       ,0,0,Business Applications_>1M,0,Biz Apps _ FF
7-322U3MG3TI,Open,United States,500k-1M   ,20.0,Applications & Infrastructure,1,0,0,0.0,0,0,0,50-100,<=2,0-2M,0%,0,0,<0.25,0%to40%,0,Other,0,Infra,(0-20], =0, 0-20,20-40,1,1,1,No,Without Domain Presales,Other,0,Unknown,2,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_500k-1M   ,0,1,Applications & Infrastructure_500k-1M,2-4,Infra _ Other
7-322UIXWXIQ,Open,Latam,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,0,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-322UN5YLGG,Open,Latam,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,0,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-322UQAWYSD,Open,United States,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,200-400,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-322UQGQR4C,Open,Western Europe,100k-300k ,60.0,Other,1,0,0,0.0,0,0,0,0,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-322USD2KDY,Open,United States,500k-1M   ,20.0,Applications & Infrastructure,1,0,0,2.0,0,0,1,100-200,<=2,10M-50M,10%-20%,0,40-60,<0.25,0%to40%,0,FF,<2,Infra,(0-20], =0,40-60,20-40,1,1,1,No,Has Domain Presales,3_FF,0,Full SO,1,0,No,0,Cloud_1,Cloud_10%-20%,Cloud_1_500k-1M   ,0,0,Applications & Infrastructure_500k-1M,0-2,Infra _ FF
7-322UTEANA4,Open,United States,100k-300k ,40.0,Other,1,0,1,0.0,0,0,0,50-100,<=2,2M-10M,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20,40-60,1,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,1,AA,0-2,AA
7-322V3NLFGG,Open,United States,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,200-400,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-322V4HQOTJ,Open,Western Europe,>1M       ,20.0,Data & AI,1,0,0,0.0,0,0,0,200-400,<=2,2M-10M,0%,0,0,<0.25,0%to40%,0,Other,0,Data & AI, =0, =0,20-40,20-40,1,1,1,No,Without Domain Presales,Other,0,Unknown,2,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_>1M       ,0,0,Data & AI_>1M,2-4,Data & AI _ Other
7-322V5FOKGD,Open,Western Europe,300k-500k ,20.0,Data & AI,1,0,0,0.0,0,0,0,200-400,<=2,2M-10M,0%,0,0,<0.25,0%to40%,0,Other,0,Data & AI, =0, =0,20-40,20-40,1,1,1,No,Without Domain Presales,Other,0,Unknown,2,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_300k-500k ,0,0,Data & AI_300k-500k,2-4,Data & AI _ Other
7-322V5MG7CZ,Open,United States,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,0-50,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20,40-60,1,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-322VDKWGS7,Open,United States,<50K      ,20.0,Applications & Infrastructure,1,0,0,0.0,0,0,0,0-50,<=2,2M-10M,0%,0,0,<0.25,0%to40%,0,Other,0,App Dev, =0, =0,20-40,60-80,1,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_<50K      ,0,0,Applications & Infrastructure_<50K,0,App Dev _ Other
7-322VKMWOSF,Open,United States,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,0,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-322VLWLO3T,Open,United States,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,200-400,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-322VNWCKJS,Open,Western Europe,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,0,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-322VXEHSOL,Open,Canada,500k-1M   ,20.0,Data & AI,1,0,1,2.0,0,0,1,100-200,<=2,2M-10M,0-10%,0,0-20,<0.25,0%to40%,0,FF,<2,Data & AI,(0-20], =0,20-40, 0-20,1,1,1,No,Has Domain Presales,3_FF,0,Custom,1,0,No,0,Cloud_1,Cloud_0-10%,Cloud_1_500k-1M   ,0,1,Data & AI_500k-1M,2-4,Data & AI _ FF
7-322W3WNX2Y,Open,United States,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,200-400,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-322W4O75IW,Open,United States,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,0,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,0,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-322WGHWOZM,Open,United States,>1M       ,20.0,Other,1,0,0,0.0,0,0,0,200-400,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_>1M       ,0,0,AA,0,AA
7-322WLR5LGY,Open,Canada,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,200-400,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
7-322WQDA7AY,Open,United States,100k-300k ,20.0,Other,1,0,0,0.0,0,0,0,200-400,<=2,0,0%,0,0,<0.25,0%to40%,0,Other,0,Unknown, =0, =0, 0-20, 0-20,0,1,1,No,Without Domain Presales,Other,0,Unknown,1,2M+,No,0,Cloud_1,Cloud_0%,Cloud_1_100k-300k ,0,0,AA,0,AA
